client_id,monthly_income_cop,credit_exposure_cop,avg_days_late_last_year,num_active_products,credit_utilization,months_with_bank,product_usage_score,competitor_rate_inquiries,complaint_count_last_year,active_products_change_6m,client_value_score,defaulted_30_60_days,churned_3_months
CL100000,3104481.0,1830579.0,3.8,5,0.632,18,0.795,0,0,-1,0.337,1,0
CL100001,2259983.0,2567257.0,6.9,3,0.081,102,0.694,0,0,1,0.172,0,1
CL100002,3347901.0,2064829.0,4.6,2,0.429,85,0.549,1,0,-2,0.304,0,1
CL100003,5186216.0,2720709.0,0.1,4,0.129,172,0.912,2,0,-2,0.184,0,0
CL100004,2154186.0,3436949.0,40.9,2,0.251,115,0.396,1,0,-2,0.39,0,0
CL100005,2154203.0,7174245.0,6.3,5,0.112,63,0.306,1,0,1,0.662,0,1
CL100006,5333970.0,3188907.0,5.1,1,0.45,3,0.758,2,0,-1,0.655,0,0
CL100007,3554473.0,1315940.0,24.7,1,0.232,112,0.522,0,0,-2,0.379,0,0
CL100008,1915066.0,8868777.0,1.4,3,0.223,146,0.407,0,0,1,0.239,0,0
CL100009,3176467.0,2222264.0,1.7,1,0.218,165,0.394,0,2,1,0.766,0,0
CL100010,1920875.0,3831993.0,13.2,2,0.553,20,0.931,0,0,1,0.708,0,0
CL100011,1918655.0,5457905.0,2.4,5,0.266,93,0.554,0,0,-2,0.332,0,0
CL100012,2733193.0,4591546.0,12.8,3,0.572,36,0.511,1,0,-2,0.828,0,0
CL100013,930391.0,8588423.0,2.5,2,0.343,4,0.393,0,1,-2,0.597,0,0
CL100014,1022275.0,5583365.0,0.3,1,0.121,120,0.748,0,0,-1,0.402,0,0
CL100015,1828225.0,2184906.0,5.8,4,0.41,109,0.74,0,0,-1,0.356,0,0
CL100016,1459471.0,18347310.0,1.8,2,0.697,78,0.805,1,0,0,0.359,0,0
CL100017,2833785.0,4574616.0,11.3,4,0.141,17,0.716,0,1,-1,0.3,0,0
CL100018,1537992.0,3601503.0,8.2,4,0.168,49,0.212,0,0,-1,0.5,0,0
CL100019,1195229.0,7839987.0,20.6,3,0.108,109,0.507,0,0,-2,0.745,1,0
CL100020,5039535.0,4754565.0,12.2,5,0.184,116,0.469,0,0,0,0.329,0,0
CL100021,2163227.0,5280122.0,1.6,1,0.428,10,0.367,0,0,-1,0.316,0,0
CL100022,2504912.0,22851534.0,12.9,1,0.216,157,0.454,0,0,0,0.28,0,0
CL100023,1187815.0,3293347.0,8.2,2,0.482,120,0.252,0,0,1,0.63,0,0
CL100024,1844666.0,3196501.0,8.8,1,0.695,123,0.53,0,0,-1,0.735,1,0
CL100025,2559855.0,4332282.0,14.3,3,0.19,76,0.79,0,1,-1,0.192,0,0
CL100026,1362052.0,8453247.0,6.8,1,0.449,123,0.404,1,1,-1,0.339,0,0
CL100027,2922205.0,1390851.0,5.0,2,0.324,137,0.771,0,0,-2,0.187,0,0
CL100028,1793502.0,1008637.0,8.1,1,0.245,90,0.243,0,1,-1,0.138,1,0
CL100029,2093092.0,2647217.0,2.8,5,0.258,149,0.691,0,1,-2,0.662,0,0
CL100030,1792545.0,1272195.0,1.6,4,0.256,1,0.567,0,0,-1,0.169,0,0
CL100031,6114289.0,2965683.0,7.7,4,0.258,164,0.541,0,1,0,0.86,0,0
CL100032,2405459.0,5675957.0,2.1,4,0.091,6,0.493,0,0,-2,0.562,0,0
CL100033,1427085.0,2140341.0,0.7,5,0.383,111,0.525,0,0,-1,0.254,0,0
CL100034,3653779.0,1470659.0,0.0,3,0.277,146,0.288,1,0,1,0.679,0,0
CL100035,1315304.0,4191361.0,7.5,2,0.701,101,0.608,0,1,-1,0.144,0,0
CL100036,2688333.0,7302888.0,3.6,5,0.074,139,0.794,0,0,-1,0.097,1,0
CL100037,909059.0,1218972.0,11.2,2,0.147,69,0.57,0,0,0,0.687,0,0
CL100038,1246571.0,7089764.0,3.8,3,0.203,149,0.724,1,0,1,0.412,0,0
CL100039,2672248.0,7075257.0,5.3,5,0.479,107,0.252,0,0,-1,0.272,1,0
CL100040,3503361.0,7786169.0,4.2,1,0.291,106,0.443,0,0,0,0.803,0,1
CL100041,2638402.0,9369180.0,8.4,3,0.084,9,0.777,0,0,1,0.22,0,0
CL100042,2285684.0,18650989.0,3.5,4,0.465,2,0.275,0,0,-1,0.597,1,0
CL100043,2083268.0,3111874.0,26.5,5,0.305,113,0.689,0,0,0,0.29,0,0
CL100044,1156304.0,4311085.0,22.0,3,0.367,132,0.488,0,0,-2,0.513,1,0
CL100045,1689728.0,2983158.0,15.1,3,0.102,90,0.744,2,1,0,0.322,0,1
CL100046,1923545.0,3998316.0,20.2,5,0.28,12,0.36,0,0,-1,0.214,0,0
CL100047,4108469.0,11675595.0,4.8,4,0.164,83,0.354,0,2,-2,0.681,1,0
CL100048,2875707.0,1557340.0,6.2,4,0.3,83,0.492,0,0,-1,0.508,0,0
CL100049,1002974.0,2185303.0,10.8,3,0.218,93,0.687,0,0,0,0.14,0,0
CL100050,2847756.0,10470022.0,9.5,2,0.34,39,0.587,0,0,-2,0.721,1,0
CL100051,1997604.0,8154052.0,17.7,3,0.536,162,0.397,1,0,-1,0.199,0,0
CL100052,1726383.0,3096577.0,10.1,5,0.355,59,0.669,0,0,1,0.375,0,0
CL100053,3288158.0,7261387.0,49.3,5,0.233,128,0.63,0,1,0,0.587,1,0
CL100054,4055156.0,5069999.0,3.4,5,0.229,72,0.62,0,0,0,0.175,0,0
CL100055,3857925.0,11412185.0,14.3,4,0.089,134,0.651,0,0,1,0.44,0,0
CL100056,1591824.0,4206564.0,9.6,1,0.615,160,0.611,0,0,0,0.197,0,0
CL100057,2074838.0,8186054.0,9.4,5,0.204,28,0.622,0,0,-2,0.649,0,0
CL100058,2857997.0,25378384.0,3.2,5,0.301,75,0.279,0,0,1,0.398,0,0
CL100059,3944263.0,6068788.0,12.3,2,0.696,41,0.58,0,0,-1,0.42,0,0
CL100060,1905801.0,4133065.0,18.5,2,0.69,72,0.155,0,0,-1,0.41,0,0
CL100061,2207057.0,6620708.0,2.0,3,0.531,88,0.571,0,0,1,0.427,0,1
CL100062,1392808.0,3091922.0,7.9,3,0.281,155,0.695,1,1,-1,0.561,0,0
CL100063,1331607.0,21243837.0,4.0,3,0.478,53,0.707,0,0,-2,0.574,0,0
CL100064,3635521.0,4529172.0,36.5,5,0.173,123,0.95,0,0,-1,0.289,0,0
CL100065,4771255.0,3298395.0,5.2,2,0.106,11,0.804,1,0,-1,0.383,0,0
CL100066,2336104.0,2224444.0,2.1,3,0.672,87,0.822,1,0,-1,0.217,0,0
CL100067,3999846.0,8606722.0,3.8,2,0.149,150,0.533,0,0,1,0.393,0,0
CL100068,2901731.0,7326666.0,8.5,5,0.12,5,0.203,1,0,0,0.44,0,0
CL100069,1754054.0,2818885.0,0.6,5,0.255,112,0.469,1,0,-1,0.497,1,1
CL100070,2901382.0,5977518.0,7.4,3,0.562,162,0.755,1,0,1,0.011,0,0
CL100071,5225277.0,1388884.0,21.4,5,0.309,62,0.324,1,0,0,0.196,0,0
CL100072,2378753.0,4544732.0,15.2,5,0.092,159,0.21,0,0,1,0.315,0,0
CL100073,5295256.0,5481720.0,0.6,2,0.701,47,0.354,0,0,0,0.533,0,0
CL100074,653519.0,13192128.0,40.2,1,0.54,37,0.497,2,1,1,0.388,0,0
CL100075,3652605.0,2327783.0,9.6,4,0.502,111,0.527,0,0,0,0.369,0,0
CL100076,2529478.0,1631733.0,1.4,3,0.605,26,0.496,0,0,1,0.476,0,0
CL100077,2085452.0,2133342.0,0.1,1,0.247,43,0.944,1,0,0,0.335,0,1
CL100078,2535447.0,1566575.0,1.5,3,0.538,61,0.323,0,0,-1,0.365,0,0
CL100079,896466.0,10177197.0,14.6,1,0.393,166,0.762,2,0,-1,0.036,0,1
CL100080,2169840.0,11805163.0,0.2,5,0.397,128,0.423,0,1,0,0.516,0,0
CL100081,2895175.0,4996017.0,2.1,3,0.143,160,0.756,0,0,-1,0.388,0,0
