client_id,monthly_income_cop,credit_exposure_cop,avg_days_late_last_year,num_active_products,credit_utilization,months_with_bank,product_usage_score,competitor_rate_inquiries,complaint_count_last_year,active_products_change_6m,client_value_score
NEW1000,1921938.0,3914588.0,2.3,1,0.421,162,0.938,0,0,-2,0.318
NEW1001,2923224.0,5686896.0,1.7,2,0.433,32,0.511,1,1,-2,0.28
NEW1002,3390398.0,3989903.0,14.1,2,0.057,2,0.698,2,0,-2,0.63
NEW1003,1458235.0,7074036.0,8.7,5,0.121,81,0.838,0,0,-1,0.472
NEW1004,3672549.0,5567146.0,2.3,2,0.106,64,0.813,2,0,1,0.12
NEW1005,2480652.0,973376.0,0.7,5,0.383,70,0.568,1,1,-2,0.717
NEW1006,1786215.0,6853201.0,8.1,1,0.37,93,0.339,0,0,-2,0.436
NEW1007,1219315.0,5054095.0,4.9,3,0.411,101,0.67,0,0,-2,0.267
NEW1008,1360409.0,10840082.0,13.1,4,0.486,43,0.327,0,2,-1,0.178
NEW1009,4726012.0,2277271.0,4.9,3,0.317,159,0.504,0,1,1,0.582
NEW1010,2312963.0,4661804.0,3.8,5,0.29,40,0.608,0,0,0,0.692
NEW1011,1507020.0,3561355.0,18.6,5,0.149,51,0.595,0,0,-2,0.561
NEW1012,3373308.0,2403206.0,9.4,2,0.18,33,0.46,0,0,0,0.603
NEW1013,4694813.0,1876253.0,3.2,5,0.51,100,0.338,0,1,1,0.594
NEW1014,4221082.0,1828874.0,1.3,1,0.029,89,0.729,0,0,0,0.846
NEW1015,2717720.0,12640675.0,6.7,5,0.158,2,0.78,1,0,-1,0.242
NEW1016,4979029.0,5295801.0,20.2,3,0.318,61,0.869,0,0,1,0.291
NEW1017,3627763.0,14198354.0,1.7,2,0.361,139,0.387,0,1,-2,0.388
NEW1018,868105.0,2918103.0,7.1,1,0.407,7,0.645,0,0,-2,0.345
NEW1019,2345713.0,11114720.0,8.7,1,0.359,1,0.756,0,0,1,0.483
NEW1020,7480223.0,1361840.0,3.7,4,0.261,71,0.39,1,0,-1,0.276
NEW1021,3185477.0,3865311.0,0.3,1,0.357,142,0.801,0,0,-1,0.117
NEW1022,2582043.0,2963231.0,12.0,2,0.465,29,0.755,0,0,-2,0.216
NEW1023,5752441.0,6579106.0,5.4,4,0.355,43,0.617,0,0,1,0.422
NEW1024,1375237.0,3183139.0,20.5,2,0.15,16,0.406,0,1,-2,0.531
NEW1025,2847122.0,2290863.0,12.9,4,0.216,120,0.601,0,0,-1,0.1
NEW1026,6246226.0,10361896.0,0.9,4,0.488,129,0.226,0,0,-2,0.718
NEW1027,4828186.0,13741616.0,19.7,4,0.325,29,0.633,0,1,-1,0.547
NEW1028,1237266.0,985857.0,2.9,2,0.459,34,0.923,1,0,0,0.334
NEW1029,2662406.0,2518950.0,15.1,2,0.658,97,0.392,1,1,-2,0.517
NEW1030,2706334.0,8338928.0,7.9,4,0.224,19,0.813,0,0,0,0.063
NEW1031,5386404.0,1202038.0,6.0,2,0.47,22,0.835,0,0,-2,0.545
NEW1032,3393677.0,15857178.0,14.4,5,0.32,88,0.663,0,1,-1,0.563
NEW1033,1723686.0,4762642.0,44.6,5,0.221,9,0.538,1,0,-1,0.506
NEW1034,1235950.0,1767633.0,13.1,3,0.359,120,0.614,0,0,1,0.324
NEW1035,4169126.0,1591705.0,10.0,5,0.323,159,0.293,0,0,-2,0.833
NEW1036,2519434.0,5294377.0,19.0,4,0.336,60,0.793,1,1,-1,0.525
NEW1037,4355114.0,2889613.0,2.2,3,0.394,51,0.509,0,0,-1,0.264
NEW1038,4405523.0,5013044.0,0.8,2,0.522,47,0.885,0,0,1,0.399
NEW1039,1934206.0,3678034.0,9.5,3,0.492,129,0.526,0,1,0,0.379
